"МОНГОЛ УЛСАД ОРШИН СУУГАА ХҮН АМЫН ТОО, баг/хороо, хот/хөдөөгөөр
",,,,,,
"Баг, хороо",2014,2015,2016,2017,2018,2019
                            4-р баг Сүлд,,"3,252.","3,649.","3,927.","3,991.","3,945."
                            5-р баг Борхойн,,"3,061.","3,391.","3,401.","3,360.","3,215."
                    Иххэт,"2,078.","2,039.","2,077.","2,108.","2,112.","2,083."
"                            1-р баг, Бүрдэнэ",471.,482.,505.,528.,553.,588.
"                            2-р баг, Баян",509.,539.,577.,601.,602.,619.
"                            3-р баг, Зүлэгт","1,098.","1,018.",995.,979.,957.,876.
                    Мандах,"1,563.","1,566.","1,568.","1,587.","1,596.","1,553."
"                            1-р баг, Алхантээг",250.,237.,231.,235.,249.,240.
"                            2-р баг, Баянхошуу",299.,312.,325.,338.,335.,325.
"                            3-р баг, Өехий",403.,402.,404.,413.,419.,437.
"                            4-р баг, Сэрвэн баянхошуу",251.,270.,274.,276.,271.,261.
"                            5-р баг, Төхөм",360.,345.,334.,325.,322.,290.
                    Өргөн,"1,904.","1,889.","1,933.","2,004.","2,076.","2,139."
"                            1-р баг, Сүмийн булаг",222.,251.,262.,277.,313.,293.
"                            2-р баг, Сүмбэр",239.,295.,321.,331.,347.,351.
"                            3-р баг, Баянмөнх",300.,269.,284.,310.,318.,319.
"                            4-р баг, Сэнж","1,365.","1,074.","1,066.","1,086.","1,098.","1,176."
                    Сайхандулаан,"1,276.","1,292.","1,367.","1,380.","1,378.","1,368."
"                            1-р баг, Улаан шороот",341.,341.,360.,386.,380.,391.
"                            2-р баг, Жаргалант",329.,347.,372.,368.,375.,379.
"                            3-р баг, Цохио",270.,263.,265.,257.,256.,224.
"                            4-р баг, Өлзийт",336.,341.,370.,369.,367.,374.
                    Улаанбадрах,"1,451.","1,431.","1,474.","1,470.","1,482.","1,476."
"                            1-р баг, Сангийн далай",485.,500.,499.,512.,532.,534.
"                            2-р баг, Баянбогд",344.,326.,333.,333.,348.,349.
"                            3-р баг, Аргалант",259.,258.,278.,292.,294.,285.
"                            4-р баг, Нүдэн",363.,347.,364.,333.,308.,308.
                    Хатанбулаг,"2,933.","2,752.","2,941.","2,919.","2,872.","2,850."
"                            1-р баг, Халив",430.,415.,435.,405.,394.,392.
"                            2-р баг, Эргэл",422.,434.,437.,431.,416.,404.
"                            3-р баг, Агаруут",531.,495.,533.,539.,522.,504.
"                            4-р баг, Сулинхээр",606.,584.,619.,614.,600.,586.
"                            5-р баг, Аман-Ус",583.,544.,573.,574.,575.,559.
"                            6-р баг, Замын шанд",361.,280.,344.,356.,365.,405.
                    Хөвсгөл,"1,567.","1,518.","1,568.","1,573.","1,540.","1,561."
"                            1-р баг, Жавхлант",335.,333.,337.,328.,325.,364.
"                            2-р баг, Чулуут",344.,340.,368.,370.,357.,351.
"                            3-р баг, Элст",451.,424.,443.,458.,455.,460.
"                            4-р баг, Хөвсгөл",437.,421.,420.,417.,403.,386.
                Эрдэнэ,"2,346.","2,340.","2,437.","2,378.","2,439.","2,337."
"                        1-р баг, Бүрдэнэ",219.,238.,247.,265.,266.,261.
"                        2-р баг, Еншөөв",206.,223.,234.,246.,249.,262.
"                        3-р баг, Цагаан хөтөл",145.,167.,185.,169.,187.,198.
"                        4-р баг, Дөрвөлж",272.,270.,289.,289.,299.,295.
"                        5-р баг, Улаан-Уул","1,504.","1,442.","1,482.","1,409.","1,438.","1,321."
            Дархан-Уул,"97,342.","97,691.","99,796.","101,879.","104,238.","102,171."
                Дархан,"79,938.","80,652.","82,247.","84,256.","86,749.","85,303."
                        1-р баг,"4,089.","4,115.","4,015.","3,981.","3,970.","3,918."
                        2-р баг,"4,465.","4,413.","4,357.","4,398.","4,450.","4,499."
                        3-р баг,"5,824.","5,440.","5,509.","5,472.","5,409.","5,072."
                        4-р баг,"3,245.","3,193.","3,233.","3,237.","3,223.","2,985."
                        5-р баг,"4,978.","4,740.","4,768.","4,846.","5,064.","4,740."
                        6-р баг,"5,074.","5,062.","5,072.","5,097.","5,072.","4,817."
                        7-р баг,"6,121.","5,941.","6,104.","6,198.","6,157.","5,611."
                        8-р баг,"6,315.","6,877.","7,104.","7,197.","7,203.","6,979."
                        9-р баг,"4,772.","4,675.","4,797.","5,163.","5,523.","5,403."
                        10-р баг,"4,785.","4,892.","5,049.","5,250.","5,529.","5,648."
                        11-р баг,"3,169.","3,431.","3,542.","3,696.","4,008.","4,209."
                        12-р баг,"3,174.","3,428.","3,349.","3,615.","3,774.","3,765."
                        13-р баг,"3,806.","3,836.","3,971.","4,038.","4,349.","4,434."
                        14-р баг,"3,690.","3,809.","4,129.","4,533.","5,083.","5,219."
                        15-р баг,"7,007.","7,875.","8,117.","8,373.","8,647.","8,321."
                        16-р баг,"4,203.","3,752.","3,846.","3,798.","3,890.","3,917."
"                        18-р баг, Малчин баг","1,820.","1,859.","1,892.","2,007.","2,042.","1,980."
"                        17-р баг, Өргөө баг","3,401.","3,314.","3,393.","3,357.","3,356.","3,786."
                Орхон,"3,155.","3,076.","3,186.","3,226.","3,300.","3,198."
"                        1-р баг, Баян-Өлзийт","2,535.","2,494.","2,538.","2,589.","2,621.","2,539."
"                        2-р баг, Энхтал",620.,582.,648.,637.,679.,659.
                Хонгор,"6,101.","5,970.","6,184.","6,217.","6,115.","5,861."
                        1-р баг,"2,561.","2,483.","2,553.","2,564.","2,513.","2,373."
                        2-р баг,"1,756.","1,751.","1,852.","1,875.","1,896.","1,837."
"                        3-р баг, Салхит баг","1,784.","1,736.","1,779.","1,778.","1,706.","1,651."
                Шарын гол,"8,148.","7,993.","8,179.","8,180.","8,074.","7,809."
"                        1-р баг, Хайрхан","3,169.","3,099.","3,198.","3,191.","3,228.","3,140."
"                        2-р баг, Дархан","2,290.","2,179.","2,238.","2,224.","2,161.","2,113."
"                        3-р баг, Санжинт","2,689.","2,715.","2,743.","2,765.","2,685.","2,556."
            Өмнөговь,"59,665.","61,367.","63,661.","65,645.","69,124.","69,858."
                Даланзадгад,"22,187.","22,873.","24,072.","24,863.","25,998.","26,367."
"                        1-р баг, Баруунсайхан","3,634.","3,977.","4,256.","4,438.","4,647.","4,892."
"                        2-р баг, Хан-Уул","2,709.","2,543.","2,665.","2,646.","2,639.","2,617."
"                        3-р баг, Далан","2,734.","2,886.","3,121.","3,261.","3,441.","3,399."
"                        4-р баг, Дундсайхан","3,053.","3,186.","3,317.","3,363.","3,463.","3,466."
"                        5-р баг, Зүүнсайхан","2,237.","2,262.","2,351.","2,385.","2,424.","2,400."
"                        6-р баг, Их -Уул","3,218.","3,464.","3,681.","3,943.","4,570.","4,921."
"                        7-р баг, Оюут","2,458.","2,347.","2,395.","2,390.","2,346.","2,238."
"                        8-р баг, Цагаан булаг","2,144.","2,208.","2,286.","2,437.","2,468.","2,434."
                Баяндалай,"2,098.","2,053.","2,098.","2,082.","2,079.","2,091."
"                        1-р баг, Баян",547.,531.,546.,566.,565.,561.
"                        2-р баг, Наран",884.,865.,890.,881.,888.,888.
"                        3-р баг, Төхөм",667.,657.,662.,635.,626.,642.
                Баян-Овоо,"1,706.","1,686.","1,758.","1,733.","1,787.","1,886."
"                        1-р баг, Могойт",545.,541.,565.,573.,599.,685.
"                        2-р баг, Харзаг",635.,631.,655.,631.,658.,665.
"                        3-р баг, Налих",526.,514.,538.,529.,530.,536.
                Булган,"2,076.","2,049.","2,066.","2,122.","2,093.","2,085."
"                        1-р баг, Дэн",493.,495.,493.,507.,506.,516.
"                        2-р баг, Дал",377.,367.,371.,388.,383.,374.
"                        3-р баг, Хавцгайт",447.,453.,446.,470.,456.,457.
"                        4-р баг, Булган",759.,734.,756.,757.,748.,738.
                    Гурвантэс,"4,503.","4,569.","4,729.","4,869.","5,041.","5,101."
"                            1-р баг, Гоёот",781.,783.,824.,850.,881.,918.
"                            2-р баг, Баясах",917.,918.,969.,975.,"1,035.","1,020."
"                            3-р баг, Тост",972.,960.,"1,025.","1,083.","1,095.","1,101."
"                            4-р баг, Урт","1,833.","1,908.","1,911.","1,961.","2,030.","1,496."
"                            5-р баг, Бага-Овоо",,,,,,566.
                    Мандал-Овоо,"1,622.","1,607.","1,628.","1,602.","1,629.","1,610."
"                            1-р баг, Өтгөн",653.,647.,661.,649.,677.,677.
"                            2-р баг, Баянхошуу",446.,444.,459.,477.,464.,452.
"                            3-р баг, Мандал",523.,516.,508.,476.,488.,481.
                    Манлай,"2,522.","2,440.","2,499.","2,577.","2,586.","2,625."
"                            1-р баг, Өехий",735.,707.,707.,741.,746.,763.
"                            2-р баг, Өгөөмөр",668.,637.,652.,640.,643.,658.
"                            3-р баг, Жаргалант",590.,568.,601.,634.,626.,631.
"                            4-р баг, Далай",529.,528.,539.,562.,571.,573.
                    Ноён,"1,347.","1,259.","1,357.","1,394.","1,408.","1,403."
"                            1-р баг, Сайран",732.,699.,742.,763.,757.,764.
"                            2-р баг, Ганзагад",615.,560.,615.,631.,651.,639.
